Dataset,Top,type,min support,trans,items,time
Bakery,10,APRIORI,0.01,8339,13484,0.087643862
Bakery,10,APRIORI,0.05,8339,13484,0.037050962
Bakery,20,APRIORI,0.01,9037,16550,0.271992207
Bakery,20,APRIORI,0.05,9037,16550,0.039773941
Bakery,30,APRIORI,0.01,9298,17885,0.510766745
Bakery,30,APRIORI,0.05,9298,17885,0.040420055
Bakery,40,APRIORI,0.01,9365,18445,0.515302896
Bakery,40,APRIORI,0.05,9365,18445,0.036988735
Groceries,10,APRIORI,0.01,3656,11111,0.23379612
Groceries,10,APRIORI,0.05,3656,11111,0.075079918
Groceries,20,APRIORI,0.01,3810,17117,3.043438196
Groceries,20,APRIORI,0.05,3810,17117,0.400126219
Groceries,30,APRIORI,0.01,3866,21595,9.407475948
Groceries,30,APRIORI,0.05,3866,21595,0.89650178
Groceries,40,APRIORI,0.01,3881,24697,16.80596232
Groceries,40,APRIORI,0.05,3881,24697,1.267158985
MarketBasket,10,APRIORI,0.01,5520,11081,0.118185997
MarketBasket,10,APRIORI,0.05,5520,11081,0.03313899
MarketBasket,20,APRIORI,0.01,6536,16602,0.653516054
MarketBasket,20,APRIORI,0.05,6536,16602,0.154960155
MarketBasket,30,APRIORI,0.01,6855,20366,1.247218847
MarketBasket,30,APRIORI,0.05,6855,20366,0.337929964
MarketBasket,40,APRIORI,0.01,7075,22646,1.691363096
MarketBasket,40,APRIORI,0.05,7075,22646,0.338994026
OnlineRetail,10,APRIORI,0.01,9604,16868,0.213912964
OnlineRetail,10,APRIORI,0.05,9604,16868,0.044416904
OnlineRetail,20,APRIORI,0.01,12375,29166,1.648180962
OnlineRetail,20,APRIORI,0.05,12375,29166,0.267037868
OnlineRetail,30,APRIORI,0.01,13489,40546,5.721241951
OnlineRetail,30,APRIORI,0.05,13489,40546,0.746120214
OnlineRetail,40,APRIORI,0.01,14532,50897,12.38631392
OnlineRetail,40,APRIORI,0.05,14532,50897,1.594099998
RetailScanner,10,APRIORI,0.01,32965,44101,0.200621128
RetailScanner,10,APRIORI,0.05,32965,44101,0.136759996
RetailScanner,20,APRIORI,0.01,41103,65244,1.036177874
RetailScanner,20,APRIORI,0.05,41103,65244,0.410447121
RetailScanner,30,APRIORI,0.01,48621,80636,2.230133057
RetailScanner,30,APRIORI,0.05,48621,80636,0.373324633
RetailScanner,40,APRIORI,0.01,51980,90839,4.227671146
RetailScanner,40,APRIORI,0.05,51980,90839,0.413352966
TVShows,10,APRIORI,0.01,6962,14190,0.174072981
TVShows,10,APRIORI,0.05,6962,14190,0.046868086
TVShows,20,APRIORI,0.01,8276,21638,0.981793165
TVShows,20,APRIORI,0.05,8276,21638,0.200865984
TVShows,30,APRIORI,0.01,8706,27074,2.050226927
TVShows,30,APRIORI,0.05,8706,27074,0.522086859
TVShows,40,APRIORI,0.01,8953,30791,3.4315238
TVShows,40,APRIORI,0.05,8953,30791,0.61531806
Bakery,10,BRUTE FORCE,0.01,8339,13484,0.23538208
Bakery,10,BRUTE FORCE,0.05,8339,13484,0.226667881
Bakery,20,BRUTE FORCE,0.01,9037,16550,272.9804816
Bakery,20,BRUTE FORCE,0.05,9037,16550,273.123246
Bakery,30,APRIORI,0.01,9298,17885,?
Bakery,30,APRIORI,0.05,9298,17885,?
Bakery,40,APRIORI,0.01,9365,18445,?
Bakery,40,APRIORI,0.05,9365,18445,?
Groceries,10,BRUTE FORCE,0.01,3656,11111,0.145653009
Groceries,10,BRUTE FORCE,0.05,3656,11111,0.130433798
Groceries,20,BRUTE FORCE,0.01,3810,17117,122.689713
Groceries,20,BRUTE FORCE,0.05,3810,17117,123.1300409
Groceries,30,APRIORI,0.01,3866,21595,?
Groceries,30,APRIORI,0.05,3866,21595,?
Groceries,40,APRIORI,0.01,3881,24697,?
Groceries,40,APRIORI,0.05,3881,24697,?
MarketBasket,10,BRUTE FORCE,0.01,5520,11081,0.259927034
MarketBasket,10,BRUTE FORCE,0.05,5520,11081,0.18802619
MarketBasket,20,BRUTE FORCE,0.01,6536,16602,214.6322739
MarketBasket,20,BRUTE FORCE,0.05,6536,16602,215.4966619
MarketBasket,30,APRIORI,0.01,6855,20366,?
MarketBasket,30,APRIORI,0.05,6855,20366,?
MarketBasket,40,APRIORI,0.01,7075,22646,?
MarketBasket,40,APRIORI,0.05,7075,22646,?
OnlineRetail,10,BRUTE FORCE,0.01,9604,16868,0.398847103
OnlineRetail,10,BRUTE FORCE,0.05,9604,16868,0.354865074
OnlineRetail,20,BRUTE FORCE,0.01,12375,29166,491.2844119
OnlineRetail,20,BRUTE FORCE,0.05,12375,29166,491.8345792
OnlineRetail,30,APRIORI,0.01,13489,40546,?
OnlineRetail,30,APRIORI,0.05,13489,40546,?
OnlineRetail,40,APRIORI,0.01,14532,50897,?
OnlineRetail,40,APRIORI,0.05,14532,50897,?
RetailScanner,10,BRUTE FORCE,0.01,32965,44101,1.317167997
RetailScanner,10,BRUTE FORCE,0.05,32965,44101,1.28867197
RetailScanner,20,BRUTE FORCE,0.01,41103,65244,1498.79879
RetailScanner,20,BRUTE FORCE,0.05,41103,65244,1466.243274
OnlineRetail,30,APRIORI,0.01,13489,40546,?
OnlineRetail,30,APRIORI,0.05,13489,40546,?
OnlineRetail,40,APRIORI,0.01,14532,50897,?
OnlineRetail,40,APRIORI,0.05,14532,50897,?
TVShows,10,BRUTE FORCE,0.01,6962,14190,0.356734991
TVShows,10,BRUTE FORCE,0.05,6962,14190,0.332102776
TVShows,20,BRUTE FORCE,0.01,8276,21638,327.9367862
TVShows,20,BRUTE FORCE,0.05,8276,21638,328.1566598
TVShows,30,APRIORI,0.01,8706,27074,?
TVShows,30,APRIORI,0.05,8706,27074,?
TVShows,40,APRIORI,0.01,8953,30791,?
TVShows,40,APRIORI,0.05,8953,30791,?
