filename,type,min support,trans,items,time
Data/Bakery-formatted-number-TOP10.csv,APRIORI,0.01,8339,13484,0.08764386177062988
Data/Bakery-formatted-number-TOP10.csv,APRIORI,0.05,8339,13484,0.03705096244812012
Data/Bakery-formatted-number-TOP20.csv,APRIORI,0.01,9037,16550,0.27199220657348633
Data/Bakery-formatted-number-TOP20.csv,APRIORI,0.05,9037,16550,0.03977394104003906
Data/Bakery-formatted-number-TOP30.csv,APRIORI,0.01,9298,17885,0.5107667446136475
Data/Bakery-formatted-number-TOP30.csv,APRIORI,0.05,9298,17885,0.0404200553894043
Data/Bakery-formatted-number-TOP40.csv,APRIORI,0.01,9365,18445,0.5153028964996338
Data/Bakery-formatted-number-TOP40.csv,APRIORI,0.05,9365,18445,0.03698873519897461
Data/Groceries-formatted-number-TOP10.csv,APRIORI,0.01,3656,11111,0.2337961196899414
Data/Groceries-formatted-number-TOP10.csv,APRIORI,0.05,3656,11111,0.07507991790771484
Data/Groceries-formatted-number-TOP20.csv,APRIORI,0.01,3810,17117,3.043438196182251
Data/Groceries-formatted-number-TOP20.csv,APRIORI,0.05,3810,17117,0.40012621879577637
Data/Groceries-formatted-number-TOP30.csv,APRIORI,0.01,3866,21595,9.40747594833374
Data/Groceries-formatted-number-TOP30.csv,APRIORI,0.05,3866,21595,0.8965017795562744
Data/Groceries-formatted-number-TOP40.csv,APRIORI,0.01,3881,24697,16.805962324142456
Data/Groceries-formatted-number-TOP40.csv,APRIORI,0.05,3881,24697,1.2671589851379395
Data/Market_Basket-number-TOP10.csv,APRIORI,0.01,5520,11081,0.11818599700927734
Data/Market_Basket-number-TOP10.csv,APRIORI,0.05,5520,11081,0.03313899040222168
Data/Market_Basket-number-TOP20.csv,APRIORI,0.01,6536,16602,0.6535160541534424
Data/Market_Basket-number-TOP20.csv,APRIORI,0.05,6536,16602,0.15496015548706055
Data/Market_Basket-number-TOP30.csv,APRIORI,0.01,6855,20366,1.2472188472747803
Data/Market_Basket-number-TOP30.csv,APRIORI,0.05,6855,20366,0.33792996406555176
Data/Market_Basket-number-TOP40.csv,APRIORI,0.01,7075,22646,1.6913630962371826
Data/Market_Basket-number-TOP40.csv,APRIORI,0.05,7075,22646,0.33899402618408203
Data/Online_Retail-formatted-code-number-TOP10.csv,APRIORI,0.01,9604,16868,0.2139129638671875
Data/Online_Retail-formatted-code-number-TOP10.csv,APRIORI,0.05,9604,16868,0.04441690444946289
Data/Online_Retail-formatted-code-number-TOP20.csv,APRIORI,0.01,12375,29166,1.6481809616088867
Data/Online_Retail-formatted-code-number-TOP20.csv,APRIORI,0.05,12375,29166,0.26703786849975586
Data/Online_Retail-formatted-code-number-TOP30.csv,APRIORI,0.01,13489,40546,5.7212419509887695
Data/Online_Retail-formatted-code-number-TOP30.csv,APRIORI,0.05,13489,40546,0.7461202144622803
Data/Online_Retail-formatted-code-number-TOP40.csv,APRIORI,0.01,14532,50897,12.386313915252686
Data/Online_Retail-formatted-code-number-TOP40.csv,APRIORI,0.05,14532,50897,1.594099998474121
Data/RetailScanner-formatted-category-number-TOP10.csv,APRIORI,0.01,32965,44101,0.2006211280822754
Data/RetailScanner-formatted-category-number-TOP10.csv,APRIORI,0.05,32965,44101,0.13675999641418457
Data/RetailScanner-formatted-category-number-TOP20.csv,APRIORI,0.01,41103,65244,1.0361778736114502
Data/RetailScanner-formatted-category-number-TOP20.csv,APRIORI,0.05,41103,65244,0.4104471206665039
Data/RetailScanner-formatted-category-number-TOP30.csv,APRIORI,0.01,48621,80636,2.230133056640625
Data/RetailScanner-formatted-category-number-TOP30.csv,APRIORI,0.05,48621,80636,0.3733246326446533
Data/RetailScanner-formatted-category-number-TOP40.csv,APRIORI,0.01,51980,90839,4.227671146392822
Data/RetailScanner-formatted-category-number-TOP40.csv,APRIORI,0.05,51980,90839,0.41335296630859375
Data/TVShows-number-TOP10.csv,APRIORI,0.01,6962,14190,0.1740729808807373
Data/TVShows-number-TOP10.csv,APRIORI,0.05,6962,14190,0.046868085861206055
Data/TVShows-number-TOP20.csv,APRIORI,0.01,8276,21638,0.9817931652069092
Data/TVShows-number-TOP20.csv,APRIORI,0.05,8276,21638,0.2008659839630127
Data/TVShows-number-TOP30.csv,APRIORI,0.01,8706,27074,2.050226926803589
Data/TVShows-number-TOP30.csv,APRIORI,0.05,8706,27074,0.5220868587493896
Data/TVShows-number-TOP40.csv,APRIORI,0.01,8953,30791,3.4315237998962402
Data/TVShows-number-TOP40.csv,APRIORI,0.05,8953,30791,0.6153180599212646
Data/Bakery-formatted-number-TOP10.csv,BRUTE FORCE,0.01,8339,13484,0.235382080078125
Data/Bakery-formatted-number-TOP10.csv,BRUTE FORCE,0.05,8339,13484,0.2266678810119629
Data/Bakery-formatted-number-TOP20.csv,BRUTE FORCE,0.01,9037,16550,272.98048162460327
Data/Bakery-formatted-number-TOP20.csv,BRUTE FORCE,0.05,9037,16550,273.12324595451355
Data/Groceries-formatted-number-TOP10.csv,BRUTE FORCE,0.01,3656,11111,0.14565300941467285
Data/Groceries-formatted-number-TOP10.csv,BRUTE FORCE,0.05,3656,11111,0.1304337978363037
Data/Groceries-formatted-number-TOP20.csv,BRUTE FORCE,0.01,3810,17117,122.68971300125122
Data/Groceries-formatted-number-TOP20.csv,BRUTE FORCE,0.05,3810,17117,123.13004088401794
Data/Market_Basket-number-TOP10.csv,BRUTE FORCE,0.01,5520,11081,0.25992703437805176
Data/Market_Basket-number-TOP10.csv,BRUTE FORCE,0.05,5520,11081,0.18802618980407715
Data/Market_Basket-number-TOP20.csv,BRUTE FORCE,0.01,6536,16602,214.6322739124298
Data/Market_Basket-number-TOP20.csv,BRUTE FORCE,0.05,6536,16602,215.496661901474
Data/Online_Retail-formatted-code-number-TOP10.csv,BRUTE FORCE,0.01,9604,16868,0.3988471031188965
Data/Online_Retail-formatted-code-number-TOP10.csv,BRUTE FORCE,0.05,9604,16868,0.35486507415771484
Data/Online_Retail-formatted-code-number-TOP20.csv,BRUTE FORCE,0.01,12375,29166,491.28441190719604
Data/Online_Retail-formatted-code-number-TOP20.csv,BRUTE FORCE,0.05,12375,29166,491.83457922935486
Data/RetailScanner-formatted-category-number-TOP10.csv,BRUTE FORCE,0.01,32965,44101,1.3171679973602295
Data/RetailScanner-formatted-category-number-TOP10.csv,BRUTE FORCE,0.05,32965,44101,1.2886719703674316
Data/RetailScanner-formatted-category-number-TOP20.csv,BRUTE FORCE,0.01,41103,65244,1498.7987899780273
Data/RetailScanner-formatted-category-number-TOP20.csv,BRUTE FORCE,0.05,41103,65244,1466.243273973465
Data/TVShows-number-TOP10.csv,BRUTE FORCE,0.01,6962,14190,0.3567349910736084
Data/TVShows-number-TOP10.csv,BRUTE FORCE,0.05,6962,14190,0.33210277557373047
Data/TVShows-number-TOP20.csv,BRUTE FORCE,0.01,8276,21638,327.93678617477417
Data/TVShows-number-TOP20.csv,BRUTE FORCE,0.05,8276,21638,328.1566598415375
