Datasets,TOP ITEM,type,min support,trans,items,len of frequentItemset,Time -Round 1,Time -Round 2,Time -Round 3
Bakery,10,APRIORI,0.01,5000,7975,37,0.047384739,0.056822777,0.058379889
Bakery,10,APRIORI,0.05,5000,7975,13,0.018547773,0.022745132,0.022951841
Bakery,20,APRIORI,0.01,5000,8825,49,0.142383814,0.170516968,0.172508955
Bakery,20,APRIORI,0.05,5000,8825,10,0.014245987,0.016915798,0.017681837
Bakery,30,APRIORI,0.01,5000,9139,54,0.200139999,0.243463755,0.246680021
Bakery,30,APRIORI,0.05,5000,9139,9,0.014431,0.018004179,0.018139124
Bakery,40,APRIORI,0.01,5000,9438,57,0.236330986,0.283657789,0.288718939
Bakery,40,APRIORI,0.05,5000,9438,9,0.014877796,0.018423796,0.018415213
MarketBasket,10,APRIORI,0.01,5000,10083,97,0.109224081,0.137715816,0.139779091
MarketBasket,10,APRIORI,0.05,5000,10083,19,0.02993989,0.036706924,0.036931992
MarketBasket,20,APRIORI,0.01,5000,12851,199,0.503367901,0.612092018,0.621973991
MarketBasket,20,APRIORI,0.05,5000,12851,24,0.11819315,0.141728878,0.141032219
MarketBasket,30,APRIORI,0.01,5000,15156,258,1.002801895,1.202953339,1.220241785
MarketBasket,30,APRIORI,0.05,5000,15156,32,0.248872042,0.298402071,0.303956985
MarketBasket,40,APRIORI,0.01,5000,16366,268,1.308691263,1.550431013,1.579936981
MarketBasket,40,APRIORI,0.05,5000,16366,31,0.249168158,0.288761854,0.295398951
OnlineRetail,10,APRIORI,0.01,5000,8813,99,0.106628895,0.126508713,0.128525972
OnlineRetail,10,APRIORI,0.05,5000,8813,13,0.023398876,0.028046131,0.028205156
OnlineRetail,20,APRIORI,0.01,5000,11630,282,0.558235884,0.662629843,0.6743958
OnlineRetail,20,APRIORI,0.05,5000,11630,21,0.087557793,0.102874279,0.104033232
OnlineRetail,30,APRIORI,0.01,5000,14383,491,1.601348162,1.883047819,1.914256811
OnlineRetail,30,APRIORI,0.05,5000,14383,29,0.205040216,0.240833044,0.244799137
OnlineRetail,40,APRIORI,0.01,5000,16342,702,2.896833897,3.488988161,3.54188323
OnlineRetail,40,APRIORI,0.05,5000,16342,35,0.354510069,0.418821096,0.425758123
RetailScanner,10,APRIORI,0.01,5000,6806,28,0.031022072,0.036323071,0.037818909
RetailScanner,10,APRIORI,0.05,5000,6806,11,0.020157099,0.023683071,0.024214983
RetailScanner,20,APRIORI,0.01,5000,8093,63,0.124294043,0.146481991,0.150315046
RetailScanner,20,APRIORI,0.05,5000,8093,16,0.05006814,0.058546066,0.059981108
RetailScanner,30,APRIORI,0.01,5000,8485,73,0.242236853,0.284888983,0.28984499
RetailScanner,30,APRIORI,0.05,5000,8485,12,0.032557011,0.038797855,0.038489103
RetailScanner,40,APRIORI,0.01,5000,8925,79,0.426387787,0.494525194,0.501775026
RetailScanner,40,APRIORI,0.05,5000,8925,10,0.023016214,0.027055979,0.027767897
Bakery,10,BRUTE FORCE,0.01,5000,7975,37,0.136880875,0.150701046,0.153241873
Bakery,20,BRUTE FORCE,0.01,5000,8825,49,147.411423,151.864831,152.8048911
MarketBasket,10,BRUTE FORCE,0.01,5000,10083,97,0.138494968,0.165784121,0.168423891
MarketBasket,20,BRUTE FORCE,0.01,5000,12851,199,149.3102,153.418154,154.2869456
OnlineRetail,10,BRUTE FORCE,0.01,5000,8813,99,0.134771109,0.163686037,0.177747965
OnlineRetail,20,BRUTE FORCE,0.01,5000,11630,282,151.4656549,156.0646889,156.4851241
RetailScanner,10,BRUTE FORCE,0.01,5000,6806,28,0.12609911,0.155075073,0.167729855
RetailScanner,20,BRUTE FORCE,0.01,5000,8093,63,148.1614878,152.4382122,153.1412113
Bakery,10,APRIORI,0.01,5000,7975,37,,,
Bakery,10,APRIORI,0.05,5000,7975,13,,,
Bakery,20,APRIORI,0.01,5000,8825,49,,,
Bakery,20,APRIORI,0.05,5000,8825,10,,,
Bakery,30,APRIORI,0.01,5000,9139,54,,,
Bakery,30,APRIORI,0.05,5000,9139,9,,,
Bakery,40,APRIORI,0.01,5000,9438,57,,,
Bakery,40,APRIORI,0.05,5000,9438,9,,,
MarketBasket,10,APRIORI,0.01,5000,10083,97,,,
MarketBasket,10,APRIORI,0.05,5000,10083,19,,,
MarketBasket,20,APRIORI,0.01,5000,12851,199,,,
MarketBasket,20,APRIORI,0.05,5000,12851,24,,,
MarketBasket,30,APRIORI,0.01,5000,15156,258,,,
MarketBasket,30,APRIORI,0.05,5000,15156,32,,,
MarketBasket,40,APRIORI,0.01,5000,16366,268,,,
MarketBasket,40,APRIORI,0.05,5000,16366,31,,,
OnlineRetail,10,APRIORI,0.01,5000,8813,99,,,
OnlineRetail,10,APRIORI,0.05,5000,8813,13,,,
OnlineRetail,20,APRIORI,0.01,5000,11630,282,,,
OnlineRetail,20,APRIORI,0.05,5000,11630,21,,,
OnlineRetail,30,APRIORI,0.01,5000,14383,491,,,
OnlineRetail,30,APRIORI,0.05,5000,14383,29,,,
OnlineRetail,40,APRIORI,0.01,5000,16342,702,,,
OnlineRetail,40,APRIORI,0.05,5000,16342,35,,,
RetailScanner,10,APRIORI,0.01,5000,6806,28,,,
RetailScanner,10,APRIORI,0.05,5000,6806,11,,,
